"Book ID","Citation","Title","Tuning","Page",
"Stephen_1","Parker, 2010","Staten Island Hornpipe","aDADE",115
"Stephen_1","Parker, 2010","Stay All Night","aEAC#E",45
"Stephen_1","Parker, 2010","Sugar Hill","aDADE",117
"Stephen_1","Parker, 2010","Sugar In the Gourd","aEAC#E",46
"Stephen_1","Parker, 2010","Susanna Gal","aDADE",118
"Stephen_1","Parker, 2010","Sweet Little Julie","aDADE",117
"Stephen_1","Parker, 2010","Tater Patch","aEAC#E",47
"Stephen_1","Parker, 2010","Temperance Reel","gDGBD",72
"Stephen_1","Parker, 2010","Texas","aEAC#E",48
"Stephen_1","Parker, 2010","Texas Gales","gCGCD",130
"Stephen_1","Parker, 2010","Tom & Jerry","aEAC#E",49
"Stephen_1","Parker, 2010","Too Young To Marry","aDADE",119
"Stephen_1","Parker, 2010","Turkey in the Straw","aDADE",120
"Stephen_1","Parker, 2010","Twin Sisters","aDADE",119
"Stephen_1","Parker, 2010","Valley Forge","aDADE",121
"Stephen_1","Parker, 2010","Wagoner One‐Step","gCGCD",128
"Stephen_1","Parker, 2010","Waldorf's Reel","gDGBD",76
"Stephen_1","Parker, 2010","Walking In My Sleep","gDGBD",76
"Stephen_1","Parker, 2010","Walking Up Georgia Row","aDADE",108
"Stephen_1","Parker, 2010","Ways of the World","aEAC#E",50
"Stephen_1","Parker, 2010","West Virginia Girls","aEADE",58
"Stephen_1","Parker, 2010","Westfork Girls","aDADE",109
"Stephen_1","Parker, 2010","Whiskey Before Breakfast","aDADE",122
"Stephen_1","Parker, 2010","Wild Horses at Stony Point","gDGDE",79
"Stephen_1","Parker, 2010","Year of Jubilo","aDADE",123
"Stephen_1","Parker, 2010","Yellow Barber","aDADE",123
"Stephen_1","Parker, 2010","Yellow Rose of Texas","aDADE",124
"Stephen_1","Parker, 2010","Arkansas Traveler","aDADE",
"Stephen_1","Parker, 2010","Bile Them Cabbage Down","gDGBD",
"Stephen_1","Parker, 2010","Black Hills Waltz","aEAC#E",
"Stephen_1","Parker, 2010","Cowboy's Waltz","aDADE",
"Stephen_1","Parker, 2010","Darling Nellie Gray","aEAC#E",
"Stephen_1","Parker, 2010","Folding Down the Sheets","aDADE",
"Stephen_1","Parker, 2010","Groundhog","gDGBD",
"Stephen_1","Parker, 2010","I'll Fly Away","aDADE",
"Stephen_1","Parker, 2010","Jaybird","aDADE",
"Stephen_1","Parker, 2010","John Brown's Dream‐ver1","aEAC#E",
"Stephen_1","Parker, 2010","L & N Rag","gCGCD",
"Stephen_1","Parker, 2010","Peacock Rag","aDADE",
"Stephen_1","Parker, 2010","Peeler Creek Waltz","gDGBD",
"Stephen_1","Parker, 2010","Pig Ankles Rag","aDADE",
"Stephen_1","Parker, 2010","Soldier's Joy","aDADE",
"Stephen_1","Parker, 2010","Sweet Sunny South","aEAC#E",
"Stephen_1","Parker, 2010","Train 45 (Reuben)","aEAC#E",
"Stephen_1","Parker, 2010","Walk Along John to Kansas","aEAC#E",
